feature_view,feature_view_label,channel,contrast,n_a,n_b,mean_a,mean_b,delta_mean_a_minus_b,mannwhitney_p_value,mannwhitney_q_value_bh_within_view_contrast
all_sampled_tissue,All sampled tissue,CD68,low_IHC1_any_ISH_vs_zero_all,35,61,0.0186892452980746,0.022718840340717007,-0.004029595042642407,0.007892576969841466,0.009020087965533104
all_sampled_tissue,All sampled tissue,CD68,low_IHC2_ISH_negative_vs_zero_all,22,61,0.015216428848563272,0.022718840340717007,-0.007502411492153735,0.0013094387367385502,0.010475509893908401
all_sampled_tissue,All sampled tissue,CD68,low_all_vs_zero_ISH_negative,57,18,0.017348860001771983,0.0234805639068629,-0.006131703905090918,0.0037716219891587737,0.0075432439783175475
all_sampled_tissue,All sampled tissue,CD68,low_all_vs_zero_ISH_not_evaluated,57,43,0.017348860001771983,0.022399979313028028,-0.005051119311256045,0.0029496203110134854,0.004719392497621577
all_sampled_tissue,All sampled tissue,CD68,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.0186892452980746,0.022399979313028028,-0.0037107340149534276,0.030005769173637526,0.034292307627014317
all_sampled_tissue,All sampled tissue,CD68,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.015216428848563272,0.0234805639068629,-0.008264135058299628,0.006290731949479034,0.018212143025134037
all_sampled_tissue,All sampled tissue,PD-L1,low_IHC1_any_ISH_vs_zero_all,35,61,0.04375704979908855,0.05463851863525354,-0.01088146883616499,0.0033003922134066006,0.0044005229512088006
all_sampled_tissue,All sampled tissue,PD-L1,low_IHC2_ISH_negative_vs_zero_all,22,61,0.038255034560336194,0.05463851863525354,-0.016383484074917347,0.0033319269649186847,0.013327707859674739
all_sampled_tissue,All sampled tissue,PD-L1,low_all_vs_zero_ISH_negative,57,18,0.041633464970096415,0.057545712632317,-0.01591224766222059,0.0027363634779492465,0.0075432439783175475
all_sampled_tissue,All sampled tissue,PD-L1,low_all_vs_zero_ISH_not_evaluated,57,43,0.041633464970096415,0.053421553706250235,-0.01178808873615382,0.00281854290041257,0.004719392497621577
all_sampled_tissue,All sampled tissue,PD-L1,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.04375704979908855,0.053421553706250235,-0.009664503907161684,0.013841190076035749,0.018454920101380997
all_sampled_tissue,All sampled tissue,PD-L1,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.038255034560336194,0.057545712632317,-0.01929067807198081,0.006290731949479034,0.018212143025134037
all_sampled_tissue,All sampled tissue,PD-1,low_IHC1_any_ISH_vs_zero_all,35,61,0.09332918775858154,0.13002252351422613,-0.036693335755644596,0.0016676542346642056,0.003795989356351904
all_sampled_tissue,All sampled tissue,PD-1,low_IHC2_ISH_negative_vs_zero_all,22,61,0.08610698685468642,0.13002252351422613,-0.04391553665953972,0.00509125085419835,0.013576668944528934
all_sampled_tissue,All sampled tissue,PD-1,low_all_vs_zero_ISH_negative,57,18,0.09054167162023606,0.14407704348837388,-0.053535371868137824,0.0022287408967338477,0.0075432439783175475
all_sampled_tissue,All sampled tissue,PD-1,low_all_vs_zero_ISH_not_evaluated,57,43,0.09054167162023606,0.12413923608318757,-0.03359756446295151,0.002292025220216192,0.004719392497621577
all_sampled_tissue,All sampled tissue,PD-1,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.09332918775858154,0.12413923608318757,-0.03081004832460603,0.007532601017609789,0.01317936740214665
all_sampled_tissue,All sampled tissue,PD-1,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.08610698685468642,0.14407704348837388,-0.05797005663368747,0.0068295536344252636,0.018212143025134037
all_sampled_tissue,All sampled tissue,CD11c,low_IHC1_any_ISH_vs_zero_all,35,61,0.009851509234330636,0.012752992784178267,-0.002901483549847631,0.0015829455217087024,0.003795989356351904
all_sampled_tissue,All sampled tissue,CD11c,low_IHC2_ISH_negative_vs_zero_all,22,61,0.00893931953469901,0.012752992784178267,-0.0038136732494792568,0.007194379156908277,0.014388758313816554
all_sampled_tissue,All sampled tissue,CD11c,low_all_vs_zero_ISH_negative,57,18,0.009499436016928956,0.013055636948283433,-0.003556200931354477,0.005151353174691564,0.008242165079506503
all_sampled_tissue,All sampled tissue,CD11c,low_all_vs_zero_ISH_not_evaluated,57,43,0.009499436016928956,0.01262630452943657,-0.003126868512507614,0.0017298522114539392,0.004719392497621577
all_sampled_tissue,All sampled tissue,CD11c,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.009851509234330636,0.01262630452943657,-0.0027747952951059345,0.005223966861585914,0.01317936740214665
all_sampled_tissue,All sampled tissue,CD11c,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.00893931953469901,0.013055636948283433,-0.004116317413584423,0.016128570589537844,0.03216359344271234
all_sampled_tissue,All sampled tissue,CD4,low_IHC1_any_ISH_vs_zero_all,35,61,0.04464200770547506,0.06761053176531076,-0.022968524059835703,0.001897994678175952,0.003795989356351904
all_sampled_tissue,All sampled tissue,CD4,low_IHC2_ISH_negative_vs_zero_all,22,61,0.04251209481368135,0.06761053176531076,-0.02509843695162941,0.0189134449861558,0.0273906435472908
all_sampled_tissue,All sampled tissue,CD4,low_all_vs_zero_ISH_negative,57,18,0.04381993606302836,0.07781946985676938,-0.03399953379374102,0.006469570474286461,0.008582359759982953
all_sampled_tissue,All sampled tissue,CD4,low_all_vs_zero_ISH_not_evaluated,57,43,0.04381993606302836,0.0633370227967932,-0.019517086733764837,0.0037752650821363445,0.005033686776181792
all_sampled_tissue,All sampled tissue,CD4,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.04464200770547506,0.0633370227967932,-0.018695015091318136,0.007532601017609789,0.01317936740214665
all_sampled_tissue,All sampled tissue,CD4,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.04251209481368135,0.07781946985676938,-0.03530737504308803,0.0351225133114612,0.04014001521309851
all_sampled_tissue,All sampled tissue,CD3,low_IHC1_any_ISH_vs_zero_all,35,61,0.048591289109520194,0.07211706389611588,-0.02352577478659569,0.002387574862129199,0.0038201197794067187
all_sampled_tissue,All sampled tissue,CD3,low_IHC2_ISH_negative_vs_zero_all,22,61,0.04649501779046898,0.07211706389611588,-0.025622046105646903,0.020542982660468098,0.0273906435472908
all_sampled_tissue,All sampled tissue,CD3,low_all_vs_zero_ISH_negative,57,18,0.04778220193374603,0.0824349213728636,-0.03465271943911757,0.007509564789985083,0.008582359759982953
all_sampled_tissue,All sampled tissue,CD3,low_all_vs_zero_ISH_not_evaluated,57,43,0.04778220193374603,0.06779796076631454,-0.020015758832568516,0.00450210326834178,0.005145260878104891
all_sampled_tissue,All sampled tissue,CD3,low_IHC1_any_ISH_vs_zero_ISH_not_evaluated,35,43,0.048591289109520194,0.06779796076631454,-0.01920667165679435,0.008237104626341656,0.01317936740214665
all_sampled_tissue,All sampled tissue,CD3,low_IHC2_ISH_negative_vs_zero_ISH_negative,22,18,0.04649501779046898,0.0824349213728636,-0.035939903582394614,0.030670952467832486,0.04014001521309851
all_sampled_tissue,All sampled tissue,CK,low_IHC1_any_ISH_vs_zero_all,35,61,0.15888149669760548,0.23112647539950218,-0.0722449787018967,0.0001327576316401645,0.001062061053121316
