channel,n_overlap,reference_mean,comparison_mean,comparison_minus_reference_mean,median_absolute_difference,pearson_r,pearson_p_value,spearman_rho,spearman_p_value
DAPI,56,0.3079261887384583,0.3052817759673384,-0.0026444127711198868,0.007844982581673349,0.9903331181636662,5.146692304346359e-48,0.9837320574162681,6.006478814310541e-42
TRITC,56,0.12514478640892393,0.12637088826829765,0.0012261018593737098,0.004608697552612298,0.9931761789003588,4.396217415027863e-52,0.9855092276144908,2.7030590433605337e-43
Cy5,56,0.0299189479938736,0.030140175935871698,0.00022122794199809186,0.0013308868357380516,0.9876739622103365,3.5194749338525936e-45,0.979084073820916,5.011811332371077e-39
PD-1,56,0.12008599327309123,0.12012546721526207,3.9473942170842524e-05,0.00491031367033655,0.9956474707946048,2.4201829068334808e-57,0.9864661654135339,4.325053262777845e-44
CD14,56,0.026298488577048005,0.026673368217682184,0.0003748796406341786,0.00139827702463435,0.9951807702557995,3.764195964800527e-56,0.9773069036226931,4.4306739068499794e-38
CD4,56,0.06323109548011893,0.06332012731098144,8.903183086250568e-05,0.003672637040665453,0.9955566554738051,4.221790862468084e-57,0.9750512645249488,5.561997155788227e-37
T-bet,56,0.014672956666209064,0.01462085246285884,-5.2104203350222994e-05,0.0005907959483693499,0.9988895933789037,2.4183039023003416e-73,0.9874231032125768,6.044414317021531e-45
CD34,56,0.01714158946877589,0.017158478630802474,1.688916202658171e-05,0.0005454026098732495,0.9894255478701941,5.738433361144073e-47,0.9723171565276829,8.903055481024132e-36
CD68,56,0.02688054294277775,0.027244793914462613,0.00036425097168486933,0.0010454305319882503,0.9983689203381401,7.753341657060131e-69,0.9867395762132602,2.5013582374252157e-44
CD16,56,0.011415812503306592,0.011655024286391836,0.00023921178308524096,0.0004892888046014992,0.9938210260874856,3.038059023606087e-53,0.9786056049213945,9.174501477754037e-39
CD11c,56,0.014591395276353647,0.01478219942389099,0.00019080414753733945,0.0008679770542130497,0.9948735821790232,1.9887395524942706e-55,0.9699931647300069,7.620276403892353e-35
CD138,56,0.14466369735528697,0.1426208466718078,-0.002042850683479186,0.006294965949166446,0.9884455229842599,6.2047670899449815e-46,0.9831852358168147,1.456430775387647e-41
CD20,56,0.05355472789797415,0.05312321999831932,-0.00043150789965482847,0.003456407801905901,0.9922523704274354,1.3391999995094214e-50,0.9792207792207792,4.2058571235806325e-39
CD3,56,0.06638910908836408,0.06637014490769182,-1.896418067227405e-05,0.003740567044786744,0.9953943135709005,1.110169323434457e-56,0.9838004101161997,5.3656509389278366e-42
CD8,56,0.03659295950304735,0.036699631059734936,0.00010667155668759277,0.001715543207410547,0.9879996524829977,1.7149836113940084e-45,0.9764183185235816,1.2358526396644536e-37
PD-L1,56,0.059764909716404246,0.059957944900276026,0.0001930351838717739,0.002356979378305351,0.9978465596468302,1.3944398602648839e-65,0.9850307587149694,6.45885427576796e-43
CK,56,0.19667079530634854,0.19521690309966894,-0.0014538922066795847,0.010431861910547,0.9868255276823732,2.1008450505248017e-44,0.9821599453178401,7.10735956244066e-41
Ki67,56,0.017127003211086213,0.017095540022117817,-3.1463188968392997e-05,0.0005614902433990505,0.997691263970133,9.121623730122927e-65,0.9838004101161997,5.3656509389278366e-42
Tryptase,56,0.007990080377873543,0.007990007100161687,-7.327771185722245e-08,0.0003046418675012488,0.9970863144816395,4.848655585051748e-62,0.9768967874231033,7.148840038929563e-38
Actin-D,56,0.015003328788768071,0.014858520977148617,-0.00014480781161945166,0.0007573585388627006,0.9956457100309408,2.4467027941647203e-57,0.97676008202324,8.368797320204836e-38
Caspase3-D,56,0.27037196118404255,0.2685198278387101,-0.0018521333453324774,0.0070971345608086545,0.9884552479768774,6.066039635328929e-46,0.9820232399179768,8.719052197217307e-41
PHH3-B,56,0.027104038663930796,0.02719373745951457,8.969879558377499e-05,0.00116007464919225,0.9958380027588521,7.244527865160792e-58,0.9829118250170883,2.2434780445226245e-41
Transgelin,56,0.013340090218898598,0.01309964145659741,-0.00024044876230118925,0.0007053594760435503,0.9835324258373359,8.328056725738383e-42,0.9750512645249488,5.561997155788227e-37
